No.,Organization Name,Address,Sector Organisation,Category Organisation
,,,,
1,A.S BOON AUTO SDN. BHD,"85A, Seberang Jalan Putra,  , , , Alor Setar, Kedah",Swasta,Pembuatan
2,A.S. KOMASU BATTERY TECHNOLOGY SDN. BHD.,"8 Jalan Utara Dua, Kawasan Perusahaan Mergong, Jln. Lencong Barat, , Alor Setar, Kedah",Swasta,Pembuatan
3,A.S.CHIN HIN SDN BHD,"Lot 284A, Sungai Mati, Jalan Kilang Tebu, , Alor Setar, Kedah",Swasta,Kewangan & insurans
4,AB DESIGN & PRINTING,"254, Tingkat Bawah, Jalan Peremba,, Taman Anggerik, , , Alor Setar, Kedah",Swasta,"Seni, Hiburan dan rekreasi"
5,AB PESONA TRAVEL & TOURS,"No. 257 Tingkat Atas, Jalan Shahab 2, Jln Sultanah Sambung, , Alor Setar, Kedah",Swasta,"Seni, Hiburan dan rekreasi"
6,ABDUL HALIM SAID & CO,"No 25-29 @nd Floor, Bangunan Lembaga Padi, Jalan Tunku Ibrahim,  , Alor Setar, Kedah",Swasta,Profesional
7,ABS EXCEL RESOURCES,"109 -2nd Floor, Persiaran Sultan Abdul Halim, , , Alor Setar, Kedah",Swasta,Pembuatan
8,AC NIELSEN (MALAYSIA) SDN BHD,"No. 5 First Floor, Taman Perniagaan Senangin, Jln Sultanah, Sambungan, Alor Setar, Kedah",Multinasional,Maklumat & komunikasi
9,ACNIELSEN (M) SDN. BHD.,"5, 1st Floor, Taman Perniagaan Senangin, Jalan Sultanah, Sambung, Alor Setar, Kedah",Multinasional,Maklumat & komunikasi
10,ADAPTIVE MICRO SYSTEMS (M) SDN BHD,"65 Mergong Barrage Ind. Estate,  ,  ,  , Alor Setar, Kedah",Multinasional,Pembuatan
11,ADITEKNIK PUMPS & MACHINERY SDN BHD,"A18, Kawasan Perusahaan Tandop Baru, Tandop, , , Alor Setar, Kedah",Swasta,Pembuatan
12,ADVANCE STRENGTHENING SDN BHD,"No. 245, Aras 1 Kompleks Shahab Perdana, Jalan Sultanah Sambungan, , , Alor Setar, Kedah",Swasta,Pembuatan
13,AEON BIG (M) SDN BHD CAWANGAN ALOR SETAR,"No. 99, Jalan Gangsa,, , Kampung Lubok Peringgi, , Alor Setar, Kedah",Multinasional, 
14,AGENCY KM 9 PRUDENTIAL ASSURANCE MALAYSIA BERHAD,"Wisma Prudential, , Jalan Teluk Wanjah, , Alor Setar, Kedah",Swasta,Kewangan & insurans
15,AGENCY LOO CHAI HOENG,"No.86 1st Floor,  Kompleks Perniagaan Sultan Abdul Hamid, Persiaran Sultan Abd,  , Alor Setar, Kedah",Swasta,Kewangan & insurans
16,AGENSI ANTI DADAH KEBANGSAAN DAERAH KOTA STAR,"Kementerian Keselamatan Dalam Negeri,  , Tingkat 2, Wisma Persekutuan,  , Alor Setar, Kedah",Kerajaan,Pentadbiran aktiviti sokongan
17,AGENSI ANTIDADAH KEBANGSAAN,"Negeri Kedah Darulaman, Tingkat 2, Menara Peladang, Jalan Telok Wanjah,  , Alor Setar, Kedah",Kerajaan,Pentadbiran & awam pertahanan
18,AGENSI FAUZI ABDUL JALIL SDN. BHD.,"No.6 Kompleks Perniagaan  Jelatek, Jalan Langgar, , , Alor Setar, Kedah",Swasta,Kewangan & insurans
19,AGENSI KAWALAN SEMPADAN MALAYSIA NEGERI KEDAH,"Aras 4, Bangunan KDN, Pusat Pentadbiran Kerajaan Persekutuan, Bandar Muadzam Shah, , Alor Setar, Kedah", , 
20,AGENSI PENGEMBARAAN AGENSI MURNI SDN BHD,"No. 17 & 18, Jalan Hidayah, Kompleks Perniagaan Hidayah, Jalan Hutan Kampung, , Alor Setar, Kedah",Swasta,"Seni, Hiburan dan rekreasi"
